file_name,true_label,predicted,correct
G14_D02_E_45_Notr_C1.wav,neutral,neutral,True
G01_D01_C_11_Sad_C4.wav,sad,sad,True
G12_D03_E_21_Neutral_C1.wav,neutral,neutral,True
G10_D02_M_25_neutral_C1.wav,neutral,neutral,True
G19_D05_K_87_Notr_C1.wav,neutral,neutral,True
G23_D02_K_24_Ofkeli_C3.wav,angry,angry,True
G06_D04_M_48_Neutral_C1.wav,neutral,neutral,True
G13_D04_F_28_Sad_C4.wav,sad,sad,True
G04_D02_K_21_Uzgun_C4.wav,sad,sad,True
G14_D02_F_28_Shocked_C5.wav,surprised,sad,False
G06_D06_C_08_Shocked_C5.wav,surprised,surprised,True
G23_D01_K_23_Uzgun_C4.wav,sad,sad,True
G04_D06_C_13_Furious_C3.wav,angry,angry,True
G15_D04_K_28_Uzgun_C4.wav,sad,sad,True
G09_D04_K_25_Notr_C1.wav,neutral,neutral,True
G21_D04_C_13_Ofkeli_C3.wav,angry,angry,True
G23_D06_C_12_Ofkeli_C3.wav,angry,angry,True
G04_D01_M_20_Neutral_C1.wav,neutral,neutral,True
G11_D06_M_22_Furious_C3.wav,angry,angry,True
G13_D04_K_45_Uzgun_C4.wav,sad,sad,True
G14_D05_K_25_Notr_C1.wav,neutral,happy,False
G18_D06_C_7_Mutlu_C2.wav,happy,happy,True
G13_D02_E_42_Mutlu_C2.wav,happy,happy,True
G19_D01_C_08_No_Mutlu_C2.wav,happy,happy,True
G16_D03_F_19_Neutral_C1.wav,neutral,neutral,True
G01_D06_K_19_Mutlu_C2.wav,happy,happy,True
G15_D04_K_28_Notr_C1.wav,neutral,neutral,True
G08_D02_E_20_Notr_C1.wav,neutral,neutral,True
G17_D06_E_68_Mutlu_C2.wav,happy,neutral,False
G14_D01_C_10_Mutlu_C2.wav,happy,happy,True
G12_D08_E_13_Notr_C1.wav,neutral,neutral,True
G18_D05_E_18_Saskin_C5.wav,surprised,surprised,True
G03_D03_C_11_Saskin_C5.wav,surprised,surprised,True
G23_D05_C_12_Saskin_C5.wav,surprised,surprised,True
G06_D01_F_20_Furious_C3.wav,angry,angry,True
G15_D01_C_05_Mutlu_C2.wav,happy,happy,True
G13_D02_M_22_Furious_C3.wav,angry,angry,True
G17_D04_E_23_UZGUN_C4_.wav,sad,sad,True
G11_D04_F_24_Furious_C3.wav,angry,sad,False
G01_D02_K_58_Saskin_C5.wav,surprised,happy,False
G07_D04_K_42_Ofkeli_C3.wav,angry,angry,True
G23_D02_K_24_Notr_C1.wav,neutral,neutral,True
G09_D02_K_21_Neutral_C1.wav,neutral,neutral,True
G10_D02_M_25_sad_C4.wav,sad,sad,True
G19_D01_C_08_Notr_C1.wav,neutral,happy,False
G09_D02_K_21_Furious_C3.wav,angry,angry,True
G01_D07_F_25_Neutral_C1.wav,neutral,neutral,True
G18_D03_K_17_Ofkeli_C3.wav,angry,angry,True
G15_D01_E_21_Notr_C1.wav,neutral,neutral,True
G08_D05_E_21_Uzgun_C4.wav,sad,sad,True
G01_D03_F_23_Angry_C3.wav,angry,angry,True
G23_D04_E_24_Uzgun_C4.wav,sad,sad,True
G08_D02_C_6_Happy_C2.wav,happy,happy,True
G06_D04_E_22_Mutlu_C2.wav,happy,happy,True
G21_D02_K_21_Notr_C1.wav,neutral,neutral,True
G07_D06_C_20_Notr_C1.wav,neutral,neutral,True
G12_D06_C_9_Neutral_C1.wav,neutral,neutral,True
G03_D06_K_48_Ofkeli_C3.wav,angry,angry,True
G13_D01_C_10_Ofkeli_C3.wav,angry,angry,True
G08_D04_C_15_Mutlu_C2.wav,happy,happy,True
G11_D03_E_20_Notr_C1.wav,neutral,neutral,True
G16_D01_K_21_Saskin_C5.wav,surprised,surprised,True
G09_D05_C_11_Shocked_C5.wav,surprised,surprised,True
G07_D01_K_22_Öfkeli_C3.wav,angry,angry,True
G12_D03_E_20_Ofkeli_C3.wav,angry,angry,True
G06_D03_M_20_Shocked_C5.wav,surprised,happy,False
G07_D06_C_15_Neutral_C1.wav,neutral,neutral,True
G21_D04_C_13_Mutlu_C2.wav,happy,happy,True
G13_D02_M_22_Neutral_C1.wav,neutral,neutral,True
G18_D05_E_18_Ofkeli_C3.wav,angry,angry,True
G02_D06_K_20_Uzgun_C4.wav,sad,sad,True
G23_D05_C_12_Notr_C1.wav,neutral,neutral,True
G10_D05_C_11_neutral_C1.wav,neutral,happy,False
G05_D06_C_9_Angry_C3.wav,angry,happy,False
G13_D06_C_14_Sad_C4.wav,sad,sad,True
G05_D05_E_20_Ofkeli_C3.wav,angry,angry,True
G09_D04_E_42_Sad_C2.wav,sad,sad,True
G19_D01_M_20_Furious_C3.wav,angry,angry,True
G08_D01_C_7_Happy_C2.wav,happy,happy,True
G06_D03K_25_Ofkeli_C3.wav,angry,angry,True
G07_D04_F_20_Neutral_C1.wav,neutral,neutral,True
G03_D05_F_22_Sad_C4.wav,sad,surprised,False
G05_D05_E_20_Notr_C1.wav,neutral,neutral,True
G06_D06_E_20_Uzgun_C4.wav,sad,sad,True
G03_D01_E_18_Ofkeli_C3.wav,angry,angry,True
G13_D05_C_10_Shocked_C5.wav,surprised,surprised,True
G19_D04_K_19_No_Mutlu_C2.wav,happy,happy,True
G23_D05_C_12_Mutlu_C2.wav,happy,happy,True
G01_D06_F_29_Happy_C2.wav,happy,happy,True
G12_D04_E_61_Furious_C3.wav,angry,angry,True
G16_D01_C_07_Happy_C2.wav,happy,happy,True
G06_D03_M_20_Neutral_C1.wav,neutral,angry,False
G08_D06_C_7_Notr_C1.wav,neutral,happy,False
G13_D06_C_14_Furious_C3.wav,angry,angry,True
G15_D04_C_10_Ofkeli_C3.wav,angry,angry,True
G03_D06_C_11_Happy_C2.wav,happy,happy,True
G07_D03_F_40_Neutral_C1.wav,neutral,neutral,True
G10_D02_M_25_shocked_C5.wav,surprised,surprised,True
G19_D04_F_18_Furious_C3.wav,angry,happy,False
G11_D03_E_20_Saskin_C5.wav,surprised,surprised,True
G12_D01_K_21_Mutlu_C2.wav,happy,happy,True
G11_D06_M_22_Shocked_C5.wav,surprised,surprised,True
G10_D05_K_26_Ofkeli_C3.wav,angry,angry,True
G14_D01_C_10_Saskin_C5.wav,surprised,surprised,True
G10_D03_E_23_Mutlu_C2.wav,happy,happy,True
G16_D02_E_20_Notr_C1.wav,neutral,neutral,True
G03_D02_E_20_Ofkeli_C3.wav,angry,angry,True
G19_D03_E_21_Mutlu_C2.wav,happy,happy,True
G21_D03_E_50_Notr_C1.wav,neutral,neutral,True
G21_D01_C_11_Mutlu_C2.wav,happy,happy,True
G07_D01_K_22_Şaşkın_C5.wav,surprised,happy,False
G19_D06_E_46_Ofkeli_C3.wav,angry,angry,True
G08_D03_F_20_Shocked_C5.wav,surprised,surprised,True
G08_D05_F_52_Happy_C2.wav,happy,happy,True
G07_D03_C_14_Saskin_C5.wav,surprised,surprised,True
G05_D05_E_21_Neutral_C1.wav,neutral,neutral,True
G07_D06_E_20_Saskin_C5.wav,surprised,surprised,True
G12_D06_C_9_N_Happy_C2.wav,happy,happy,True
G13_D01_C_10_Notr_C1.wav,neutral,neutral,True
G06_D02_E_21_Mutlu_C2.wav,happy,happy,True
G10_D06_F_30_happy_C2.wav,happy,happy,True
G08_D05_F_52_Sad_C4.wav,sad,sad,True
G12_D05_C_8_Neutral_C1.wav,neutral,neutral,True
G06_D04_E_22_Ofkeli_C3.wav,angry,angry,True
G17_D03_C_09_Uzgun_C4.wav,sad,sad,True
G16_D05_C_11_Mutlu_C2.wav,happy,happy,True
G18_D06_C_7_Ofkeli_C3.wav,angry,angry,True
G09_D06_C_12_Ofkeli_C3.wav,angry,angry,True
G13_D05_C_10_Furious_C3.wav,angry,angry,True
G04_D04_E_13_Mutlu_C2.wav,happy,happy,True
G05_D04_K_25_Mutlu_C2.wav,happy,happy,True
